date,mode,count
2023-08-17,AAR,30045
2023-08-18,AAR,27468
2023-08-19,AAR,19246
2023-08-20,AAR,18004
2023-08-21,AAR,26325
2023-08-22,AAR,28913
2023-08-23,AAR,30187
2023-08-24,AAR,28689
2023-08-25,AAR,26511
2023-08-26,AAR,18024
2023-08-27,AAR,18022
2023-08-28,AAR,26613
2023-08-29,AAR,28250
2023-08-30,AAR,29450
2023-08-31,AAR,29312
2023-09-01,AAR,28920
2023-09-02,AAR,18536
2023-09-03,AAR,19598
2023-09-04,AAR,12292
2023-09-05,AAR,29869
2023-09-06,AAR,32290
2023-09-07,AAR,31704
2023-09-08,AAR,30083
2023-09-09,AAR,17897
2023-09-10,AAR,17916
2023-09-11,AAR,29057
2023-09-12,AAR,31779
2023-09-13,AAR,31900
2023-09-14,AAR,32717
2023-09-15,AAR,30957
2023-09-16,AAR,18923
2023-09-17,AAR,18330
2023-09-18,AAR,28341
2023-09-19,AAR,31109
2023-09-20,AAR,32181
2023-09-21,AAR,31455
2023-09-22,AAR,30086
2023-09-23,AAR,15680
2023-09-24,AAR,15255
2023-09-25,AAR,24609
2023-09-26,AAR,30558
2023-09-27,AAR,32758
2023-09-28,AAR,31804
2023-09-29,AAR,29054
2023-09-30,AAR,16536
2023-10-01,AAR,18586
2023-10-02,AAR,28672
2023-10-03,AAR,32295
2023-10-04,AAR,33186
2023-10-05,AAR,32414
2023-10-06,AAR,30643
2023-10-07,AAR,16919
2023-10-08,AAR,18471
2023-10-09,AAR,21655
2023-10-10,AAR,31970
2023-10-11,AAR,33382
2023-10-12,AAR,32865
2023-10-13,AAR,31134
2023-10-14,AAR,17155
2023-10-15,AAR,18455
2023-10-16,AAR,29453
2023-10-17,AAR,31921
2023-10-18,AAR,33615
2023-10-19,AAR,32909
2023-10-20,AAR,29766
2023-10-21,AAR,17530
2023-10-22,AAR,18954
2023-10-23,AAR,29261
2023-10-24,AAR,31757
2023-10-25,AAR,32821
2023-10-26,AAR,32549
2023-10-27,AAR,31164
2023-10-28,AAR,20126
2023-10-29,AAR,18145
2023-10-30,AAR,29075
2023-10-31,AAR,30712
2023-11-01,AAR,32374
2023-11-02,AAR,32242
2023-11-03,AAR,31816
2023-11-04,AAR,19920
2023-11-05,AAR,16889
2023-11-06,AAR,30167
2023-11-07,AAR,30843
2023-11-08,AAR,33515
2023-11-09,AAR,32982
2023-11-10,AAR,25506
2023-11-11,AAR,18654
2023-11-12,AAR,19187
2023-11-13,AAR,30479
2023-11-14,AAR,33027
2023-11-15,AAR,34166
2023-11-16,AAR,34102
2023-11-17,AAR,31496
2023-11-18,AAR,19452
2023-11-19,AAR,19835
2023-11-20,AAR,30889
2023-11-21,AAR,32139
2023-11-22,AAR,28409
2023-11-23,AAR,21741
2023-11-24,AAR,15381
2023-11-25,AAR,14245
2023-11-26,AAR,16900
2023-11-27,AAR,29418
2023-11-28,AAR,31716
2023-11-29,AAR,32809
2023-11-30,AAR,32650
2023-12-01,AAR,31284
2023-12-02,AAR,19675
2023-12-03,AAR,18450
2023-12-04,AAR,30841
2023-12-05,AAR,33235
2023-12-06,AAR,33502
2023-12-07,AAR,32511
2023-12-08,AAR,31875
2023-12-09,AAR,20580
2023-12-10,AAR,17542
2023-12-11,AAR,29271
2023-12-12,AAR,33458
2023-12-13,AAR,34323
2023-12-14,AAR,33406
2023-12-15,AAR,32517
2023-12-16,AAR,20483
2023-12-17,AAR,18445
2023-12-18,AAR,28309
2023-12-19,AAR,32542
2023-12-20,AAR,33205
2023-12-21,AAR,31713
2023-12-22,AAR,29324
2023-12-23,AAR,17627
2023-12-24,AAR,20241
2023-12-25,AAR,14750
2023-12-26,AAR,20706
2023-12-27,AAR,25945
2023-12-28,AAR,26462
2023-12-29,AAR,26892
2023-12-30,AAR,16983
2023-12-31,AAR,20005
2024-01-01,AAR,9165
2024-01-02,AAR,25961
2024-01-03,AAR,31304
2024-01-04,AAR,31233
2024-01-05,AAR,30480
2024-01-06,AAR,15850
2024-01-07,AAR,13723
2024-01-08,AAR,28890
2024-01-09,AAR,30430
2024-01-10,AAR,31338
2024-01-11,AAR,32790
2024-01-12,AAR,31096
2024-01-13,AAR,17168
2024-01-14,AAR,18588
2024-01-15,AAR,16502
2024-01-16,AAR,29826
2024-01-17,AAR,32054
2024-01-18,AAR,32318
2024-01-19,AAR,27175
2024-01-20,AAR,15487
2024-01-21,AAR,17147
2024-01-22,AAR,30092
2024-01-23,AAR,33111
2024-01-24,AAR,33082
2024-01-25,AAR,32517
2024-01-26,AAR,31329
2024-01-27,AAR,19099
2024-01-28,AAR,17473
2024-01-29,AAR,29367
2024-01-30,AAR,32782
2024-01-31,AAR,33417
2024-02-01,AAR,33540
2024-02-02,AAR,32175
2024-02-03,AAR,20070
2024-02-04,AAR,20480
2024-02-05,AAR,31372
2024-02-06,AAR,33618
2024-02-07,AAR,34799
2024-02-08,AAR,34386
2024-02-09,AAR,32233
2024-02-10,AAR,20462
2024-02-11,AAR,20610
2024-02-12,AAR,30323
2024-02-13,AAR,23271
2024-02-14,AAR,32796
2024-02-15,AAR,33402
